ctr,users,p
0.0,1443,0.01695233843587364
0.65,4,4.6991929136170866e-05
0.71,5,5.873991142021358e-05
0.49,4,4.6991929136170866e-05
0.54,72,0.0008458547244510756
0.23,3537,0.04155261333865908
0.18,4213,0.04949424936267196
0.72,4,4.6991929136170866e-05
0.28,2218,0.026057024706006744
0.07,1182,0.01388611505973849
0.5,444,0.005216104134114966
0.81,2,2.3495964568085433e-05
0.51,45,0.0005286592027819222
0.33,2032,0.023871900001174798
0.38,702,0.008247083563397987
0.7,10,0.00011747982284042716
0.05,727,0.008540783120499055
0.2,4993,0.05865767554422528
0.37,745,0.008752246801611824
0.73,1,1.1747982284042716e-05
0.8,2,2.3495964568085433e-05
0.48,76,0.0008928466535872464
0.12,2709,0.03182528400747172
0.03,142,0.0016682134843340657
0.45,282,0.0033129310041000457
0.62,24,0.00028195157481702515
0.85,3,3.5243946852128144e-05
0.69,2,2.3495964568085433e-05
0.68,7,8.2235875988299e-05
0.17,3779,0.04439562505139742
0.58,41,0.0004816672736457513
0.59,8,9.398385827234173e-05
0.04,312,0.0036653704726213273
0.16,4233,0.049729209008352815
0.42,471,0.005533299655784119
0.64,17,0.00019971569882872616
0.26,2687,0.031566828397222774
0.22,3434,0.04034257116340269
0.3,2136,0.02509369015871524
0.88,1,1.1747982284042716e-05
0.47,177,0.0020793928642755606
0.41,489,0.005744763336896888
0.27,2348,0.027584262402932297
0.09,1331,0.015636564420060856
0.36,889,0.010443956250513975
0.46,277,0.003254191092679832
0.55,86,0.0010103264764276735
0.56,39,0.0004581713090776659
0.14,3204,0.03764053523807286
0.61,24,0.00028195157481702515
0.25,4216,0.04952949330952409
1.0,1,1.1747982284042716e-05
0.39,223,0.0026198000493415255
0.43,209,0.0024553282973649275
0.66,34,0.00039943139765745233
0.53,91,0.001069066387847887
0.19,2619,0.030767965601907872
0.35,1125,0.013216480069548056
0.75,4,4.6991929136170866e-05
0.76,5,5.873991142021358e-05
0.1,2016,0.023683932284630116
0.4,762,0.00895196250044055
0.57,74,0.0008693506890191609
0.24,1848,0.02171027126091094
0.06,877,0.010302980463105462
0.31,1554,0.01825636446940238
0.63,14,0.000164471751976598
0.34,711,0.008352815403954371
0.29,1473,0.01730477790439492
0.02,48,0.0005639031496340503
0.08,1139,0.013380951821524652
0.32,873,0.010255988533969291
0.21,3957,0.04648676589795703
0.83,1,1.1747982284042716e-05
0.13,2962,0.03479752352533452
0.52,86,0.0010103264764276735
0.15,3852,0.04525322775813254
0.44,271,0.003183703198975576
0.6,64,0.0007518708661787339
0.11,2399,0.028183409499418475
